"","status","duration","credit_history","purpose","amount","savings","employment_duration","installment_rate","personal_status_sex","other_debtors","present_residence","property","age","other_installment_plans","housing","number_credits","job","people_liable","telephone","foreign_worker","credit_risk"
"378","no checking account",7,"delay in paying off in the past",NA,846,"unknown/no savings account","... >= 7 years",3,"male : single","none",4,"unknown/no property",36,"none","for free",1,"skilled employee/official",1,"no","yes",1
"379","0 <= ... < 200 DM",36,"existing credits paid back duly till now","car (new)",14318,"... < 100 DM","... >= 7 years",4,"male : single","none",2,"unknown/no property",57,"none","for free",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes",0
"380","no checking account",6,"critical account/other credits existing",NA,362,"100 <= ... < 500 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","none",4,"car or other",52,"none","own",2,"unskilled - resident",1,"no","yes",1
"381","... < 100 DM",20,"existing credits paid back duly till now","radio/television",2212,"unknown/no savings account","4 <= ... < 7 years",4,"male : single","none",4,"car or other",39,"none","own",1,"skilled employee/official",1,"yes","yes",1
"382","0 <= ... < 200 DM",18,"existing credits paid back duly till now","car (used)",12976,"... < 100 DM","unemployed",3,"female : divorced/separated/married","none",4,"unknown/no property",38,"none","for free",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes",0
"383","no checking account",22,"existing credits paid back duly till now",NA,1283,"unknown/no savings account","4 <= ... < 7 years",4,"female : divorced/separated/married","none",4,"building society savings agreement/life insurance",25,"none","rent",1,"skilled employee/official",1,"no","yes",1
"384","... >= 200 DM / salary for at least 1 year",12,"existing credits paid back duly till now","car (new)",1330,"... < 100 DM","... < 1 year",4,"male : single","none",1,"real estate",26,"none","own",1,"skilled employee/official",1,"no","yes",1
"385","no checking account",30,"delay in paying off in the past","others",4272,"100 <= ... < 500 DM","1 <= ... < 4 years",2,"male : single","none",2,"building society savings agreement/life insurance",26,"none","own",2,"unskilled - resident",1,"no","yes",1
"386","no checking account",18,"critical account/other credits existing","domestic appliances",2238,"... < 100 DM","1 <= ... < 4 years",2,"female : divorced/separated/married","none",1,"car or other",25,"none","own",2,"skilled employee/official",1,"no","yes",1
"387","no checking account",18,"existing credits paid back duly till now","domestic appliances",1126,"unknown/no savings account","... < 1 year",4,"female : divorced/separated/married","none",2,"real estate",21,"none","rent",1,"skilled employee/official",1,"yes","yes",1
"388","0 <= ... < 200 DM",18,"critical account/other credits existing",NA,7374,"... < 100 DM","unemployed",4,"male : single","none",4,"building society savings agreement/life insurance",40,"stores","own",2,"management/self-employed/highly qualified employee/officer",1,"yes","yes",1
"389","0 <= ... < 200 DM",15,"critical account/other credits existing","others",NA,"500 <= ... < 1000 DM","1 <= ... < 4 years",2,"male : single","none",4,"car or other",27,"bank","own",1,"skilled employee/official",1,"no","yes",1
"390","no checking account",9,"existing credits paid back duly till now","others",1449,"... < 100 DM","4 <= ... < 7 years",3,"female : divorced/separated/married","none",2,"car or other",27,"none","own",2,"skilled employee/official",1,"no","yes",1
"391","no checking account",18,"existing credits paid back duly till now","car (new)",1820,"... < 100 DM","1 <= ... < 4 years",2,"male : married/widowed","none",2,"building society savings agreement/life insurance",30,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes",1
"392","0 <= ... < 200 DM",12,"existing credits paid back duly till now","radio/television",983,"... >= 1000 DM","... < 1 year",1,"female : divorced/separated/married","none",4,"real estate",19,"none","rent",1,"unskilled - resident",1,"no","yes",1
"393","... < 100 DM",36,"existing credits paid back duly till now","car (new)",3249,"... < 100 DM","4 <= ... < 7 years",2,"male : single","none",4,"unknown/no property",39,"bank","for free",1,"management/self-employed/highly qualified employee/officer",2,"yes","yes",1
"394","... < 100 DM",6,"critical account/other credits existing","domestic appliances",1957,"... < 100 DM","4 <= ... < 7 years",1,"female : divorced/separated/married","none",4,"car or other",31,"none","own",1,"skilled employee/official",1,"no","yes",1
"395","no checking account",9,"critical account/other credits existing","radio/television",2406,"... < 100 DM","unemployed",2,"male : single","none",3,"car or other",31,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"no","yes",1
"396","0 <= ... < 200 DM",39,"delay in paying off in the past","retraining",11760,"100 <= ... < 500 DM","4 <= ... < 7 years",2,"male : single","none",3,"unknown/no property",32,"none","rent",1,"skilled employee/official",1,"yes","yes",1
"397","... < 100 DM",12,"existing credits paid back duly till now","radio/television",2578,"... < 100 DM","unemployed",3,"female : divorced/separated/married","none",4,"unknown/no property",55,"none","for free",1,"management/self-employed/highly qualified employee/officer",1,"no","yes",1
"398","... < 100 DM",36,"critical account/other credits existing","radio/television",2348,"... < 100 DM","1 <= ... < 4 years",3,"male : married/widowed","none",2,"building society savings agreement/life insurance",46,"none","own",2,"skilled employee/official",1,"yes","yes",1
"399","0 <= ... < 200 DM",12,"existing credits paid back duly till now","car (new)",1223,"... < 100 DM","... >= 7 years",1,"male : divorced/separated","none",1,"real estate",46,"none","rent",2,"skilled employee/official",1,"no","yes",0
"400","no checking account",24,"critical account/other credits existing",NA,1516,"... >= 1000 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","none",1,"real estate",43,"none","own",2,"unskilled - resident",1,"no","yes",1
"401","no checking account",18,"existing credits paid back duly till now","domestic appliances",1473,"... < 100 DM","... < 1 year",3,"male : married/widowed","none",4,"real estate",39,"none","own",1,"skilled employee/official",1,"yes","yes",1
"402","0 <= ... < 200 DM",18,"critical account/other credits existing","others",1887,"unknown/no savings account","1 <= ... < 4 years",4,"male : married/widowed","none",4,"real estate",28,"bank","own",2,"skilled employee/official",1,"no","yes",1
"403","no checking account",24,"delay in paying off in the past","others",8648,"... < 100 DM","... < 1 year",2,"male : single","none",2,"car or other",27,"bank","own",2,"skilled employee/official",1,"yes","yes",0
"404","no checking account",14,"delay in paying off in the past","car (new)",802,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",2,"car or other",27,"none","own",2,"unskilled - resident",1,"no","yes",1
"405","0 <= ... < 200 DM",18,"delay in paying off in the past","car (new)",2899,"unknown/no savings account","... >= 7 years",4,"male : single","none",4,"car or other",43,"none","own",1,"skilled employee/official",2,"no","yes",1
"406","0 <= ... < 200 DM",24,"existing credits paid back duly till now","domestic appliances",2039,"... < 100 DM","... < 1 year",1,"male : married/widowed","none",1,"building society savings agreement/life insurance",22,"none","own",1,"skilled employee/official",1,"yes","yes",0
"407","no checking account",24,"critical account/other credits existing","car (used)",2197,"unknown/no savings account","4 <= ... < 7 years",4,"male : single","none",4,"car or other",43,"none","own",2,"skilled employee/official",2,"yes","yes",1
"408","... < 100 DM",15,"existing credits paid back duly till now","domestic appliances",1053,"... < 100 DM","... < 1 year",4,"male : married/widowed","none",2,"real estate",27,"none","own",1,"skilled employee/official",1,"no","no",1
"409","no checking account",24,"existing credits paid back duly till now","domestic appliances",3235,"500 <= ... < 1000 DM","... >= 7 years",3,"male : divorced/separated","none",2,"car or other",26,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes",1
"410","... >= 200 DM / salary for at least 1 year",12,"critical account/other credits existing","car (new)",939,"500 <= ... < 1000 DM","4 <= ... < 7 years",4,"male : married/widowed","none",2,"real estate",28,"none","own",3,"skilled employee/official",1,"yes","yes",0
"411","0 <= ... < 200 DM",24,"existing credits paid back duly till now","domestic appliances",1967,"... < 100 DM","... >= 7 years",4,"female : divorced/separated/married","none",4,"car or other",20,"none","own",1,"skilled employee/official",1,"yes","yes",1
"412","no checking account",33,"critical account/other credits existing","car (used)",7253,"... < 100 DM","4 <= ... < 7 years",3,"male : single","none",2,"car or other",35,"none","own",2,"management/self-employed/highly qualified employee/officer",1,"yes","yes",1
"413","no checking account",12,"critical account/other credits existing","others",NA,"... < 100 DM","unemployed",4,"male : single","none",2,"car or other",42,"stores","own",2,"management/self-employed/highly qualified employee/officer",1,"yes","yes",0
"414","no checking account",10,"existing credits paid back duly till now","car (new)",1597,"500 <= ... < 1000 DM","1 <= ... < 4 years",3,"male : single","none",2,"unknown/no property",40,"none","rent",1,"unskilled - resident",2,"no","no",1
"415","... < 100 DM",24,"existing credits paid back duly till now","car (new)",1381,"unknown/no savings account","1 <= ... < 4 years",4,"female : divorced/separated/married","none",2,"building society savings agreement/life insurance",35,"none","own",1,"skilled employee/official",1,"no","yes",0
"416","no checking account",36,"critical account/other credits existing","car (used)",5842,"... < 100 DM","... >= 7 years",2,"male : single","none",2,"building society savings agreement/life insurance",35,"none","own",2,"skilled employee/official",2,"yes","yes",1
"417","... < 100 DM",12,"existing credits paid back duly till now","car (new)",2579,"... < 100 DM","... < 1 year",4,"male : single","none",1,"real estate",33,"none","own",1,"unskilled - resident",2,"no","yes",0
"418","... < 100 DM",18,"delay in paying off in the past","retraining",8471,"unknown/no savings account","1 <= ... < 4 years",1,"female : divorced/separated/married","none",2,"car or other",23,"none","rent",2,"skilled employee/official",1,"yes","yes",1
"419","no checking account",21,"existing credits paid back duly till now","car (new)",2782,"500 <= ... < 1000 DM","4 <= ... < 7 years",1,"female : divorced/separated/married","none",2,"car or other",31,"bank","own",1,"management/self-employed/highly qualified employee/officer",1,"no","yes",1
"420","0 <= ... < 200 DM",18,"existing credits paid back duly till now","car (new)",NA,"unknown/no savings account","1 <= ... < 4 years",4,"female : divorced/separated/married","none",2,"building society savings agreement/life insurance",33,"none","own",1,"skilled employee/official",1,"no","yes",0
"421","no checking account",15,"existing credits paid back duly till now","car (new)",3186,"... >= 1000 DM","4 <= ... < 7 years",2,"female : divorced/separated/married","none",3,"car or other",20,"none","rent",1,"skilled employee/official",1,"no","yes",1
"422","0 <= ... < 200 DM",12,"existing credits paid back duly till now","car (used)",2028,"unknown/no savings account","1 <= ... < 4 years",4,"male : single","none",2,"car or other",30,"none","own",1,"skilled employee/official",1,"no","yes",1
